# Construct											
#OTU ID	W1	F1	F2	W2	taxonomy						
Otu3969	0	1	2	0	Bacteria						
Otu3968	0	0	0	0	Bacteria	 Chloroflexi					
Otu7512	0	0	0	0	Bacteria	 Armatimonadetes	 Armatimonadia	 Armatimonadales	 Armatimonadaceae	 Armatimonas	
Otu7513	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales			
Otu7510	2	0	0	4	Bacteria						
Otu7511	9	0	1	4	Bacteria	 Proteobacteria	 Alphaproteobacteria				
Otu7516	0	1	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Desulfitobacterium	 Desulfitobacterium_chlororespirans
Otu7517	0	1	1	0	Bacteria						
Otu7514	0	0	1	0	Bacteria	 Proteobacteria					
Otu7515	0	0	0	0	Bacteria						
Otu7518	0	0	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu7519	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu8237	0	0	0	1	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu5578	0	0	0	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu5579	0	0	0	0	Bacteria						
Otu5572	1	0	0	0	Bacteria	 Chloroflexi	 Chloroflexia	 Chloroflexales	 Chloroflexaceae	 Roseiflexus	 Roseiflexus_castenholzii
Otu5573	0	0	2	0	Bacteria	 Verrucomicrobia					
Otu5570	0	0	0	0	Bacteria						
Otu5571	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu5576	0	1	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp19	 Unclassified	 Unclassified	 Gp19	
Otu5577	0	0	0	3	Bacteria	 Planctomycetes	 Phycisphaerae				
Otu5574	0	0	0	0	Bacteria						
Otu5575	0	3	2	1	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	
Otu1268	0	2	3	5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Alphaproteobacteria_incertae_sedis	 Unclassified	 Geminicoccus	 Geminicoccus_roseus
Otu1269	2	2	1	1	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales			
Otu1262	0	5	5	0	Bacteria						
Otu1263	0	3	7	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp12	 Unclassified	 Unclassified	 Gp12	
Otu1260	0	4	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Heliobacteriaceae	 Hydrogenispora	 Hydrogenispora_ethanolica
Otu1261	35	4	5	28	Bacteria	 Proteobacteria	 Betaproteobacteria				
Otu1266	0	0	0	0	Bacteria						
Otu1267	0	1	8	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Phyllobacteriaceae	 Chelativorans	 Chelativorans_composti
Otu1264	0	7	3	4	Bacteria	 Acidobacteria	 Acidobacteria_Gp3	 Unclassified	 Unclassified	 Gp3	
Otu1265	75	0	0	95	Bacteria	 Acidobacteria	 Acidobacteria_Gp2	 Unclassified	 Unclassified	 Gp2	
Otu8039	0	0	0	0	Bacteria	 Tenericutes	 Mollicutes				
Otu4212	0	2	0	0	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Caenimonas	 Caenimonas_terrae
Otu6691	0	0	1	1	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu6641	0	0	0	2	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu6640	1	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu6643	0	1	0	0	Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Syntrophaceticus	 Syntrophaceticus_schinkii
Otu6642	0	0	0	0	Bacteria	 Verrucomicrobia	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 bacterium_Ellin5102
Otu6645	0	1	0	0	Bacteria	 Proteobacteria					
Otu6644	0	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Rhodothermaceae	 Rubrivirga	 Rubrivirga_marina
Otu6647	0	0	0	0	Bacteria	 Elusimicrobia					
Otu6646	0	0	0	1	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Chitinophagaceae		
Otu6649	0	0	0	0	Bacteria						
Otu6648	3	0	1	4	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales			
Otu8227	0	1	0	2	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Sandaracinaceae	 Sandaracinus	 Sandaracinus_amylolyticus
Otu8226	0	0	0	0	Bacteria	 Parcubacteria	 Unclassified	 Unclassified	 Unclassified	 Parcubacteria	
Otu8221	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiales	 Tepidanaerobacter	 Tepidanaerobacter_syntrophicus
Otu8220	0	0	1	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Alicyclobacillaceae	 Alicyclobacillus	 Alicyclobacillus_pomorum
Otu8223	0	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales	 Parachlamydiaceae	 Parachlamydia	 Parachlamydia_acanthamoebae
Otu8222	0	0	0	0	Bacteria						
Otu4229	1	0	0	1	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Chitinophagaceae	 Taibaiella	
Otu4228	0	0	0	0	Bacteria						
Otu4739	0	1	12	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp10	 Unclassified	 Unclassified	 Gp10	
Otu4738	0	0	0	0	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales	 Ktedonobacteraceae	 Ktedonobacter	 Ktedonobacter_racemifer
Otu4221	0	6	2	0	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Cytophagaceae	 Hymenobacter	 Hymenobacter_soli
Otu4732	0	2	3	0	Bacteria						
Otu4223	0	0	1	0	Bacteria	 BRC1	 Unclassified	 Unclassified	 Unclassified	 BRC1	
Otu4222	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Clostridium_XlVa	
Otu4225	0	1	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Myxococcaceae	 Aggregicoccus	 Aggregicoccus_edonensis
Otu4224	0	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales			
Otu4735	0	0	0	0	Bacteria	 Chloroflexi	 Chloroflexia				
Otu4226	0	4	0	0	Bacteria	 Cyanobacteria	 Cyanobacteria	 Unclassified	 Family_I	 GpI	
Otu8089	1	4	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Anaerostipes	 Anaerostipes_hadrus
Otu8088	0	0	0	0	Bacteria						
Otu8081	0	0	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu8080	0	0	0	0	Bacteria						
Otu8083	2	0	1	7	Bacteria	 Acidobacteria	 Acidobacteria_Gp3	 Unclassified	 Unclassified	 Gp3	
Otu8082	0	0	0	0	Bacteria						
Otu8085	41	22	14	27	Bacteria						
Otu8084	0	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	
Otu8087	0	3	1	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Syntrophomonadaceae	 Syntrophomonas	
Otu8086	0	1	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales	 Parachlamydiaceae	 Parachlamydia	 Parachlamydia_acanthamoebae
Otu422	5	2	2	3	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptostreptococcaceae	 Romboutsia	 Romboutsia_sedimentorum
Otu8135	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales			
Otu8134	0	0	0	0	Bacteria						
Otu7127	0	12	14	0	Bacteria	 Latescibacteria	 Unclassified	 Unclassified	 Unclassified	 Latescibacteria	
Otu899	0	1	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu898	0	0	1	1	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Microbacteriaceae	 Rathayibacter	 Rathayibacter_festucae
Otu679	8	1	0	11	Bacteria	 Acidobacteria	 Acidobacteria_Gp5	 Unclassified	 Unclassified	 Gp5	
Otu678	0	0	0	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	
Otu893	14	7	8	3	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 Bacteroides_vulgatus
Otu892	0	1	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae		
Otu891	0	1	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Polyangiaceae		
Otu890	1	7	1	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiales	 Finegoldia	 Finegoldia_magna
Otu897	1	4	3	4	Bacteria	 Actinobacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium_longum
Otu896	4	0	3	3	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
Otu671	0	17	15	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp16	 Unclassified	 Unclassified	 Gp16	
Otu894	215	1	3	145	Bacteria	 Acidobacteria	 Acidobacteria_Gp2	 Unclassified	 Unclassified	 Gp2	
Otu7124	0	0	0	0	Bacteria	 Chloroflexi	 Chloroflexia	 Chloroflexales	 Oscillochloridaceae	 Oscillochloris	 Oscillochloris_trichoides
Otu7123	0	0	0	1	Bacteria	 Parcubacteria	 Unclassified	 Unclassified	 Unclassified	 Parcubacteria	
Otu7122	0	0	0	0	Bacteria						
Otu7071	0	0	0	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	
Otu7121	0	0	0	0	Bacteria	 Chloroflexi	 Chloroflexia	 Chloroflexales	 Chloroflexaceae	 Roseiflexus	 Roseiflexus_castenholzii
Otu2440	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria				
Otu8136	0	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria				
Otu7070	0	5	1	0	Bacteria						
Otu1860	10	7	1	9	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales			
Otu1861	0	5	5	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp4	 Unclassified	 Unclassified	 Gp4	
Otu1862	30	1	1	14	Bacteria	 Verrucomicrobia	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 bacterium_Ellin5102
Otu1863	0	0	0	0	Bacteria	 Firmicutes	 Clostridia				
Otu1864	0	1	0	0	Bacteria	 Firmicutes					
Otu1865	0	21	10	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu1866	4	3	14	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 Paenibacillus_larvae
Otu1867	3	4	1	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides	 Bacteroides_uniformis
Otu1868	4	5	1	6	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Lachnospiracea_incertae_sedis	 Eubacterium_eligens
Otu1869	0	1	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp16	 Unclassified	 Unclassified	 Gp16	
Otu8131	0	0	0	0	Bacteria						
Otu2362	2	5	1	1	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu2363	0	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Chitinophagaceae		
Otu2360	1	1	1	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiales	 Symbiobacterium	 Symbiobacterium_terraclitae
Otu2361	2	0	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu2366	0	1	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales			
Otu2367	0	0	0	0	Bacteria						
Otu2364	56	6	3	14	Bacteria	 Acidobacteria	 Acidobacteria_Gp3	 Unclassified	 Unclassified	 Gp3	
Otu2365	11	0	0	3	Bacteria	 Chloroflexi	 Anaerolineae	 Anaerolineales	 Anaerolineaceae		
Otu2368	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	
Otu2369	2	0	0	0	Bacteria						
Otu423	45	34	37	24	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales			
Otu3551	0	0	2	0	Bacteria						
Otu8130	0	0	0	0	Bacteria	 Parcubacteria	 Unclassified	 Unclassified	 Unclassified	 Parcubacteria	
Otu7072	0	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales	 Parachlamydiaceae	 Parachlamydia	 Parachlamydia_acanthamoebae
Otu3556	1	0	0	0	Bacteria						
Otu8133	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae_2		
Otu7075	1	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Legionellaceae	 Legionella	
Otu7578	0	0	0	0	Bacteria	 Tenericutes	 Mollicutes	 Acholeplasmatales	 Acholeplasmataceae	 Acholeplasma	
Otu3557	0	0	0	0	Bacteria						
Otu8132	18	0	1	14	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Nocardioidaceae	 Nocardioides	 Nocardioides_hankookensis
Otu7074	2	0	0	0	Bacteria						
Otu7915	0	0	0	0	Bacteria						
Otu3288	1	1	0	0	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 Tepidisphaeraceae	 Tepidisphaera	 Tepidisphaera_mucosa
Otu3289	0	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales	 Parachlamydiaceae	 Neochlamydia	 Neochlamydia_hartmannellae
Otu3286	0	0	0	0	Bacteria	 Cyanobacteria	 Cyanobacteria				
Otu3287	2	3	1	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Haliangiaceae	 Haliangium	
Otu3284	0	0	0	0	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Cytophagaceae	 Rhodocytophaga	 Rhodocytophaga_aerolata
Otu3285	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu3282	0	0	0	1	Bacteria	 Verrucomicrobia	 Spartobacteria	 Unclassified	 Unclassified	 Spartobacteria	 Chthoniobacter_flavus
Otu3283	1	0	0	1	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales	 Patulibacteraceae	 Patulibacter	
Otu3280	11	6	14	9	Bacteria						
Otu3281	0	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales			
Otu6076	5	0	1	3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Phenylobacterium	
Otu6077	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacteraceae	 Anaeromyxobacter	 Anaeromyxobacter_dehalogenans
Otu6074	0	0	0	0	Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Veillonellaceae	 Megasphaera	
Otu6075	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu6072	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Syntrophobacterales	 Syntrophobacteraceae		
Otu6073	0	0	2	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Alphaproteobacteria_incertae_sedis	 Unclassified	 Geminicoccus	 Geminicoccus_roseus
Otu6070	0	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales			
Otu6071	0	0	0	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae	 Singulisphaera	
Otu6078	0	0	0	0	Bacteria	 Chloroflexi	 Caldilineae	 Caldilineales	 Caldilineaceae	 Caldilinea	 Caldilinea_aerophila
Otu6079	0	0	0	0	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 Tepidisphaeraceae	 Tepidisphaera	 Tepidisphaera_mucosa
Otu7134	0	1	1	0	Bacteria						
Otu5362	1	0	0	4	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu7135	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu5364	0	0	0	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu4500	0	2	0	2	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu4501	0	0	1	0	Bacteria	 Proteobacteria	 Betaproteobacteria				
Otu4502	0	2	2	0	Bacteria	 Verrucomicrobia					
Otu4503	0	0	0	0	Bacteria						
Otu4504	0	0	0	0	Bacteria						
Otu4505	1	7	5	4	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu4506	0	5	2	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacteraceae	 Anaeromyxobacter	 Anaeromyxobacter_dehalogenans
Otu4507	0	5	0	0	Bacteria						
Otu4508	0	1	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiales	 Symbiobacterium	
Otu4509	0	2	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp4	 Unclassified	 Unclassified	 Gp4	
Otu2959	2	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Chitinophagaceae		
Otu2958	5	8	2	2	Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Rhodocyclaceae	 Georgfuchsia	 Georgfuchsia_toluolica
Otu7709	0	0	0	0	Bacteria						
Otu7708	2	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu8144	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu4360	0	0	0	0	Bacteria	 Proteobacteria					
Otu8146	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales			
Otu8147	0	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae		
Otu8140	0	0	0	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Porphyromonas	
Otu8141	0	0	0	0	Bacteria	 Proteobacteria					
Otu7859	0	0	0	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu3401	0	0	0	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu7857	2	0	0	3	Bacteria	 Proteobacteria	 Alphaproteobacteria				
Otu7856	0	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae		
Otu7855	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Desulfitobacterium	
Otu7854	0	0	0	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Parabacteroides	
Otu7853	1	1	1	0	Bacteria	 Verrucomicrobia					
Otu4362	0	0	0	0	Bacteria	 Bacteroidetes					
Otu7851	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcus	 Ruminococcus_bromii
Otu7850	0	0	0	0	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Unclassified	 Ohtaekwangia	 Ohtaekwangia_koreensis
Otu5631	17	264	279	12	Bacteria						
Otu5630	0	0	0	0	Bacteria						
Otu5633	0	0	0	0	Bacteria	 Chloroflexi	 Thermomicrobia				
Otu2804	0	1	1	0	Bacteria						
Otu5635	1	1	2	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales			
Otu5634	0	0	0	0	Bacteria						
Otu5637	4	0	0	2	Bacteria						
Otu5636	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacteraceae	 Anaeromyxobacter	 Anaeromyxobacter_dehalogenans
Otu5639	0	0	0	0	Bacteria						
Otu4364	0	0	0	0	Bacteria						
Otu4365	0	0	1	2	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu3406	2	0	0	1	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Unclassified	 Chryseolinea	 Chryseolinea_serpens
Otu2800	1	1	3	0	Bacteria						
Otu4368	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae_2		
Otu4369	0	0	0	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Luteibacter	
Otu8030	0	0	0	0	Bacteria						
Otu462	0	2	7	0	Bacteria						
Otu463	5	3	3	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu460	44	55	52	31	Bacteria	 Acidobacteria	 Acidobacteria_Gp1	 Unclassified	 Unclassified	 Gp1	
Otu461	16	27	30	11	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales			
Otu466	14	30	25	16	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales	 Acidimicrobineae_incertae_sedis	 Aciditerrimonas	 Aciditerrimonas_ferrireducens
Otu467	0	1	0	0	Bacteria						
Otu464	10	0	0	13	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Unclassified	 Chryseolinea	 Chryseolinea_serpens
Otu465	0	10	7	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu468	2	2	0	1	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Nocardioidaceae	 Nocardioides	
Otu469	12	5	6	7	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales			
Otu3778	0	0	2	0	Bacteria						
Otu3779	2	0	1	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminococcus	
Otu3776	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu3777	0	3	0	3	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacteraceae	 Anaeromyxobacter	 Anaeromyxobacter_dehalogenans
Otu3774	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto	
Otu3775	0	0	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp3				
Otu3772	0	0	0	0	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	
Otu3773	0	0	1	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp25	 Unclassified	 Unclassified	 Gp25	
Otu3770	0	0	0	1	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales	 Acidimicrobiaceae	 Ilumatobacter	 Ilumatobacter_fluminis
Otu3771	0	0	0	0	Bacteria	 Parcubacteria	 Unclassified	 Unclassified	 Unclassified	 Parcubacteria	
Otu8180	0	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae	 Inquilinus	
Otu8181	0	0	1	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Barnesiella	
Otu8182	0	0	1	0	Bacteria						
Otu286	5	5	3	3	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Kineosporiaceae	 Kineosporia	 Kineosporia_rhamnosa
Otu287	254	70	81	274	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Mycobacteriaceae	 Mycobacterium	
Otu284	25	77	53	32	Bacteria	 Proteobacteria	 Betaproteobacteria				
Otu285	0	22	14	0	Bacteria	 Chloroflexi					
Otu282	27	42	10	23	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Faecalibacterium	 Faecalibacterium_prausnitzii
Otu283	3	3	6	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu280	150	15	19	104	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu281	77	30	23	58	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu6810	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Kofleriaceae	 Kofleria	 Kofleria_flava
Otu6811	1	0	1	0	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales			
Otu6812	0	0	0	0	Bacteria						
Otu6813	0	0	0	0	Bacteria						
Otu6814	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Clostridium_IV	 Clostridium_sporosphaeroides
Otu6815	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Syntrophobacterales	 Syntrophobacteraceae	 Syntrophobacter	 Syntrophobacter_wolinii
Otu288	4	0	1	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
Otu289	0	1	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu8186	0	0	0	0	Bacteria						
Otu8187	0	0	0	0	Bacteria						
Otu3369	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Sinobacteraceae	 Solimonas	
Otu3368	0	0	0	0	Bacteria						
Otu4885	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Microbacteriaceae	 Leucobacter	
Otu3364	3	0	0	1	Bacteria	 Bacteroidetes					
Otu3367	0	2	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Pseudonocardiaceae	 Pseudonocardia	 Pseudonocardia_hispaniensis
Otu4886	0	0	0	0	Bacteria						
Otu4881	0	0	0	0	Bacteria						
Otu3360	0	0	0	0	Bacteria	 Bacteroidetes					
Otu4883	0	0	0	0	Bacteria	 Proteobacteria					
Otu4882	0	3	0	2	Bacteria						
Otu1635	0	0	1	0	Bacteria						
Otu1634	0	0	1	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp25	 Unclassified	 Unclassified	 Gp25	
Otu1637	5	17	16	3	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 Paenibacillus_cellulosilyticus
Otu1636	0	0	0	0	Bacteria						
Otu1631	0	3	5	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp4	 Unclassified	 Unclassified	 Gp4	 uncultivated_soil
Otu1630	1	1	2	7	Bacteria						
Otu1633	2	0	0	43	Bacteria	 Acidobacteria	 Acidobacteria_Gp10	 Unclassified	 Unclassified	 Gp10	
Otu1632	0	8	2	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Nocardioidaceae	 Nocardioides	 Nocardioides_tritolerans
